,Sum,Avg,Min,Max,Count
std,3.3808841908879668,0.18197084193076127,0.15453734619162227,0.555882302038178,23.629449362881534
min,-1.2000000000000002,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,0.0
25%,0.0,0.04164188662822462,-0.30000000000000004,0.3111008264681931,3.0
50%,0.8512352562791864,0.1374382904848673,-0.30000000000000004,0.7750288913507548,5.5
75%,2.9387899499682058,0.19580732887615024,-0.30000000000000004,1.0345692889202347,24.0
max,11.989707117491738,0.5051944443990473,0.25,1.6717153245937766,86.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.2887507745286007,0.08438711864133817,-0.19217748298193768,0.6001998896599048,20.03448275862069
std,3.355916333294537,0.1752013755456999,0.1324113040352384,0.5193610928969606,26.592417806876586
min,-1.0,-0.25,-0.25,-0.25,0.0
25%,0.012234727089681041,0.0386742125996168,-0.25,0.253400129789107,3.25
50%,0.9649840839066077,0.11063106698695976,-0.25,0.5356710002221431,6.0
75%,3.5332914982990196,0.19102129369070678,-0.25,0.9838946267771511,26.5
max,12.884973714907568,0.5051944443990473,0.25,1.575510663881511,97.0
count,58.0,52.0,52.0,52.0,58.0
mean,2.305516833985039,0.1019584617537599,-0.15567718409430292,0.6071245903747424,22.620689655172413
std,3.166423610844158,0.1449814539454197,0.11187997955821624,0.40939607520711646,29.91381045029841
min,-0.7999999999999998,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,0.0
25%,0.010495916710561298,0.03529218049985572,-0.19999999999999996,0.29126660961292,4.0
50%,0.9056995894550695,0.11233695105444383,-0.19999999999999996,0.5423093087825327,7.0
75%,4.091546624511248,0.2017607382942284,-0.19999999999999996,0.9595192159627763,33.5
max,12.27046916820209,0.5395768464260843,0.25,1.2434084936814085,109.0
count,58.0,53.0,53.0,53.0,58.0
mean,2.336021040201443,0.09456309162588195,-0.11104582163068318,0.5099102180436448,25.948275862068964
std,3.3072772872586094,0.13384059275397925,0.10687881849614365,0.3399650821204212,34.644775011128125
min,-0.6000000000000001,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,0.0
25%,0.030620781243551304,0.01949602831266592,-0.15000000000000002,0.3020378930286711,4.0
50%,0.8796041245859366,0.10399805195380384,-0.15000000000000002,0.4801275248181486,8.0
75%,3.728064856299879,0.17712001415898118,-0.15000000000000002,0.8425317739168889,37.25
max,13.070248459589656,0.5395768464260843,0.25,1.0207788349721472,134.0
count,58.0,51.0,51.0,51.0,58.0
mean,2.35623740981734,0.08859862426668597,-0.07511893587958952,0.4943618744847084,30.0
std,3.417173813928138,0.11128999767918431,0.08126253347758179,0.28198984013314815,40.26534795098678
min,-0.5999999999999999,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
25%,0.06324879115327753,0.03959087886766684,-0.09999999999999998,0.3066938067536883,4.0
50%,1.075286313723998,0.07932563125511899,-0.09999999999999998,0.522403092085562,8.5
75%,3.086913083605069,0.13598304728510216,-0.09999999999999998,0.7723177873197896,43.0
max,13.260311524568115,0.5512628502286329,0.25,0.8720656036516106,150.0
count,58.0,55.0,55.0,55.0,58.0
mean,2.5877413967450904,0.06636392534582565,-0.042688407789641884,0.35894134291933,36.03448275862069
std,3.818671916009704,0.07792149435993473,0.04249004623969443,0.24806014382273103,48.856742075367606
min,-0.4500000000000004,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
25%,0.03749999999999998,0.026931034485765955,-0.050000000000000044,0.25,4.0
50%,0.9572926265919518,0.08106506097255298,-0.050000000000000044,0.3996874916329237,9.0
75%,3.8820035535225856,0.10472284922648821,-0.050000000000000044,0.5475424376615179,53.0
max,14.312422008805,0.2548755259554535,0.25,0.7348637006229899,187.0
