,Sum,Avg,Min,Max,Count,Unnamed: 0
79,10.493288947166679,0.5051944443990473,0.25,1.1183678559155286,91.0,
80,,,,,,9 MIN DELAY
81,58.0,52.0,52.0,52.0,58.0,
82,1.7941686179913794,0.07676202052694667,-0.19581456474215056,0.5454436108332067,19.120689655172413,
83,2.6293631925600245,0.17280998036911732,0.12678923952220106,0.4232886808812194,25.30243562661189,
84,-1.0,-0.25,-0.25,-0.25,0.0,
85,0.0,0.0062984023832181645,-0.25,0.2542653954974592,3.0,
86,0.7524693022535461,0.08264176858238785,-0.25,0.6331737185909374,6.0,
87,3.4514698098937693,0.16885588784144898,-0.25,0.8921768613159444,23.0,
88,9.480826506812662,0.5051944443990473,0.25,1.1183678559155286,89.0,
89,,,,,,10 MIN DELAY
