,Sum,Avg,Min,Max,Count
25%,0.0,0.045920550444531014,-0.25,0.375,3.0
50%,1.1422413187854996,0.10600217025589409,-0.25,0.7146752344546442,5.5
75%,4.569444075475941,0.2147427689794125,-0.25,1.0501484252694875,20.75
max,13.345934750949139,0.597562724283066,0.375,1.6761192012337904,86.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.5884454695544474,0.1197252611324249,-0.20190578406312612,0.7410795241174432,17.43103448275862
std,3.484807263442586,0.21852800870799424,0.1500447432142242,0.6177822182343666,23.293031914140673
min,-1.0,-0.25,-0.25,-0.25,0.0
25%,0.0,0.04940820991687965,-0.25,0.4,3.0
50%,1.381866932798871,0.1227762100854938,-0.25,0.7933361613638867,5.5
75%,4.02671137304276,0.23806018062523765,-0.25,1.0850037665576568,20.0
max,12.753668100616656,0.616312724283066,0.4,1.7864297104387998,85.0
count,58.0,53.0,53.0,53.0,58.0
mean,2.618353702704173,0.12881283795542134,-0.20005494980016622,0.7436373101953592,17.017241379310345
std,3.53143528834689,0.22338010586593557,0.1551771625169158,0.6123493983973601,22.7430277569797
min,-1.0,-0.25,-0.25,-0.25,0.0
25%,0.0,0.05699127262267489,-0.25,0.42500000000000004,3.0
50%,1.4193669327988712,0.13267361314108064,-0.25,0.7942879124330269,5.5
75%,3.8934284814513447,0.24981874975458102,-0.25,1.0507446527365425,20.0
max,12.428146816745201,0.635062724283066,0.42500000000000004,1.8585546668764317,84.0
count,58.0,52.0,52.0,52.0,58.0
mean,2.67399152055028,0.13947102345149992,-0.18376172999172574,0.7802640160977574,16.56896551724138
std,3.6769373461563153,0.23947942417618226,0.19884453822055095,0.6404617272264144,22.24119149036469
min,-1.0,-0.25,-0.25,-0.25,0.0
25%,0.0,0.043679187730476556,-0.25,0.44999999999999996,2.25
50%,1.271690830602966,0.1394209411958603,-0.25,0.8228846009127292,5.5
75%,4.081867525104986,0.2468333408935819,-0.25,1.1162484098928458,20.75
max,12.742808607369266,0.653812724283066,0.44999999999999996,1.9411186678127872,83.0
count,58.0,53.0,53.0,53.0,58.0
mean,2.6716931334950145,0.13233809569895347,-0.16944547093527806,0.7475685509400314,16.120689655172413
std,3.808566446936784,0.25979389252191676,0.22226341799067664,0.6655358572662129,21.94496912031252
min,-1.0,-0.25,-0.25,-0.25,0.0
25%,-0.011910667462693453,-0.0051466271926076295,-0.25,0.475,2.0
50%,1.2523384006155607,0.13456757147915452,-0.25,0.7923844102947466,4.0
75%,4.275617525104987,0.26782546065193946,-0.25,1.0964234711646952,20.25
max,13.442808607369267,0.672562724283066,0.475,1.9414888893990652,81.0
count,58.0,51.0,51.0,51.0,58.0
mean,2.5978288035133383,0.14634504235487672,-0.14912960705038703,0.7628161430927846,15.827586206896552
std,3.7785777631928745,0.27357037307483745,0.2506284286362944,0.6759400795298521,21.566004706103215
min,-1.25,-0.25,-0.25,-0.25,0.0
25%,0.0,0.011632169985894282,-0.25,0.5,2.0
50%,1.2773384006155606,0.16500876324720137,-0.25,0.8514812893924315,4.0
75%,4.371704839754179,0.28806227038346666,-0.25,1.1360733486209966,20.5
max,13.942808607369267,0.691312724283066,0.5,1.9414888893990652,81.0
